Date,Note,Location,GPS,Source
"September 27, 2018 at 01:35PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"September 27, 2018 at 06:43PM",,Steak Of The Day,"18.91557140,98.94215421",foursquare-logged-in
"September 30, 2018 at 02:37PM",,Hanging Garden Cafe,"18.91094300,98.92159500",foursquare-logged-in
"October 01, 2018 at 02:44PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"October 03, 2018 at 12:47PM",,Black Canyon (แบล็คแคนยอน),"18.80209324,98.96761895",foursquare-logged-in
"October 06, 2018 at 02:27PM",,Mon Cham (ม่อนแจ่ม),"18.93548337,98.82269594",foursquare-logged-in
"October 09, 2018 at 02:07PM",,Black Canyon (แบล็คแคนยอน),"18.80209324,98.96761895",foursquare-logged-in
"October 12, 2018 at 10:43AM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"October 12, 2018 at 11:47AM",,Chiang Mai Immigration (ตรวจคนเข้าเมือง จ.เชียงใหม่),"18.77134418,98.97097492",foursquare-logged-in
"October 12, 2018 at 03:55PM",,Kitcha Dental Clinic,"18.78102400,98.98712500",foursquare-logged-in
"October 12, 2018 at 06:44PM",,CentralFestival Chiangmai (เซ็นทรัลเฟสติวัล เชียงใหม่),"18.80656297,99.01784901",foursquare-logged-in
"October 13, 2018 at 11:27AM",,Kitcha Dental Clinic,"18.78102400,98.98712500",foursquare-logged-in
"October 13, 2018 at 01:14PM",,cat brothers cafe,"18.79525315,98.99143056",foursquare-logged-in
"October 14, 2018 at 01:36PM",,Hong beach (โฮ่งบีช),"18.91134561,98.90542207",foursquare-logged-in
"October 16, 2018 at 05:41PM",,คาเฟ่ ดินดิน Cafe DinDin,"18.83618094,99.00758388",foursquare-logged-in
"October 18, 2018 at 06:50PM",,Ginger Farm Kitchen,"18.79998891,98.96758432",foursquare-logged-in
"October 20, 2018 at 10:05AM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"October 20, 2018 at 12:04PM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"October 20, 2018 at 01:05PM",,Holiday Inn Express,"13.74682095,100.52788764",foursquare-logged-in
"October 20, 2018 at 02:25PM",,Greyhound Café (เกรฮาวด์ คาเฟ่),"13.74647904,100.53195383",foursquare-logged-in
"October 20, 2018 at 05:27PM",,Loft (ลอฟท์),"13.74677521,100.53109705",foursquare-logged-in
"October 20, 2018 at 07:10PM",,The Peninsula Bangkok,"13.72302222,100.51121771",foursquare-logged-in
"October 21, 2018 at 05:04PM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"October 21, 2018 at 08:15PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"October 22, 2018 at 05:14PM",,Kitcha Dental Clinic,"18.78102400,98.98712500",foursquare-logged-in
"October 25, 2018 at 10:13AM",,Consulate of the United States of America (สถานกงสุลสหรัฐอเมริกา),"18.79419693,98.99859935",foursquare-logged-in
"October 25, 2018 at 01:05PM",,Fuji (ฟูจิ),"18.80222980,98.96680549",foursquare-logged-in
"October 25, 2018 at 02:40PM",,Chiang Mai City Hall (ศาลากลางจังหวัดเชียงใหม่),"18.83703432,98.97093397",foursquare-logged-in
"October 26, 2018 at 10:16AM",,PTT Maerim,"18.92189170,98.94061999",foursquare-logged-in
"October 26, 2018 at 11:04AM",,Pankled Sheep House,"19.11518387,98.78502128",foursquare-logged-in
"October 26, 2018 at 06:29PM",,Nong Beer Restaurant (ร้านน้องเบียร์),"19.36083039,98.43987508",foursquare-logged-in
"October 27, 2018 at 09:55AM",,Jikko's Harem,"19.35214300,98.44219400",foursquare-logged-in
"October 27, 2018 at 01:47PM",,Pang Ma Pha Cave Lod (ถ้ำลอดปางมะผ้า),"19.56893106,98.27952672",foursquare-logged-in
"October 27, 2018 at 02:04PM",,Phu Pha Chan Pha Restaurant (ร้านภูผาจันผา),"19.57175600,98.27609900",foursquare-logged-in
"October 27, 2018 at 05:06PM",,Khaotha Coffee (เข้าท่ากาแฟ),"19.35211048,98.44210829",foursquare-logged-in
"October 28, 2018 at 11:04AM",,Art Farm Studio,"19.38733900,98.44808000",foursquare-logged-in
"October 28, 2018 at 12:47PM",,PTT (ปตท.),"19.35527873,98.43722111",foursquare-logged-in
"October 28, 2018 at 01:55PM",,Bamboo Bridge Over Rice Fields,"19.32261300,98.39403000",foursquare-logged-in
"October 28, 2018 at 01:56PM",,พุทธอุทยานห้วยคายคีรีมฤคทายวัน,"19.32213577,98.38643379",foursquare-logged-in
"November 01, 2018 at 06:24PM",,Teak Table (ทีค เทเบิล),"18.82515729,98.95853926",foursquare-logged-in
"November 03, 2018 at 10:27AM",,CEMENT THAI HOMEMART (ตั้งหง่วงเซ้ง ไทยโฮมมาร์ท),"18.93257268,98.94041200",foursquare-logged-in
"November 04, 2018 at 04:39PM",,สมุดลานนา,"18.80690382,98.98510332",foursquare-logged-in
"November 04, 2018 at 05:28PM",,Three Little Pigs,"18.79568853,98.98471436",foursquare-logged-in
"November 05, 2018 at 12:17PM",,ก๋วยเตี๋ยวคำหวาน@ptt แม่ริม,"18.92174700,98.94002500",foursquare-logged-in
"November 17, 2018 at 10:37AM",,Chic 39,"18.88766907,98.97940512",foursquare-logged-in
"November 18, 2018 at 02:28PM",,สำนักสงฆ์ร่มไทรคำ,"18.92195516,98.96601275",foursquare-logged-in
"November 22, 2018 at 02:38PM",,SUBWAY (ซับเวย์),"18.82399023,99.01177262",foursquare-logged-in
"November 24, 2018 at 10:46AM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"November 25, 2018 at 05:40PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"November 25, 2018 at 09:30PM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"November 25, 2018 at 10:56PM",,Det 5 Restaurant & Bar,"13.73807312,100.55587053",foursquare-logged-in
"November 26, 2018 at 08:55AM",,InterContinental Bangkok,"13.74509699,100.54134717",foursquare-logged-in
"November 28, 2018 at 11:48AM",,Viva Monsoon,"13.73955700,100.55598400",foursquare-logged-in
"November 28, 2018 at 08:48PM",,The Beach Pub & Restaurant,"13.28027864,100.91769337",foursquare-logged-in
"November 29, 2018 at 10:14AM",,Cafe Coco,"13.29150369,100.90921387",foursquare-logged-in
"November 29, 2018 at 03:57PM",,Laemtong Bangsaen (แหลมทองบางแสน),"13.28669386,100.92668694",foursquare-logged-in
"November 29, 2018 at 06:51PM",,BTS Udom Suk (E12) (BTS อุดมสุข),"13.67986969,100.60948652",foursquare-logged-in
"November 29, 2018 at 07:40PM",,FCCT-The Foreign Correspondents' Club of Thailand,"13.74356927,100.54165014",foursquare-logged-in
"November 29, 2018 at 09:49PM",,BTS Phrom Phong (E5) (BTS พร้อมพงษ์),"13.73075552,100.56955252",foursquare-logged-in
"November 29, 2018 at 10:12PM",,Bei Otto,"13.73343000,100.56417700",foursquare-logged-in
"November 30, 2018 at 07:25AM",,The River (เดอะริเวอร์),"13.72166903,100.50984105",foursquare-logged-in
"November 30, 2018 at 11:13AM",,Sethiwan Tower (เศรษฐีวรรณทาวเวอร์),"13.72122399,100.52408841",foursquare-logged-in
"November 30, 2018 at 12:36PM",,Domestic Departures,"13.69150226,100.75211763",foursquare-logged-in
"November 30, 2018 at 02:48PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"December 01, 2018 at 04:14PM",,Dhara Dhevi Cake Shop,"18.77860510,99.03903676",foursquare-logged-in
"December 02, 2018 at 09:52AM",,One Nimman (วันนิมมาน),"18.80011142,98.96782665",foursquare-logged-in
"December 02, 2018 at 12:18PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"December 02, 2018 at 05:04PM",,Wami Music Box,"18.79987900,98.96843200",foursquare-logged-in
"December 03, 2018 at 07:06PM",,Food4thought,"18.80609601,98.96137775",foursquare-logged-in
"December 04, 2018 at 05:49PM",,Mamma Mia,"18.87087700,99.01532700",foursquare-logged-in
"December 05, 2018 at 07:54PM",,ครัวดวงสมพงษ์,"18.89672414,98.94844711",foursquare-logged-in
"December 07, 2018 at 08:34AM",,Rustic & Blue,"18.79815985,98.96743128",foursquare-logged-in
"December 07, 2018 at 01:23PM",,Onsen @ Moncham,"18.92524300,98.82286700",foursquare-logged-in
"December 08, 2018 at 01:49PM",,ข้าวซอยรสลำ,"18.91714545,98.90942034",foursquare-logged-in
"December 08, 2018 at 06:31PM",,ครัวดวงสมพงษ์,"18.89672414,98.94844711",foursquare-logged-in
"December 12, 2018 at 07:00PM",,Susco,"18.90216615,98.94987921",foursquare-logged-in
"December 15, 2018 at 08:12PM",,Girasole Ristorante Italiano,"18.78781374,98.99014317",foursquare-logged-in
"December 16, 2018 at 05:51PM",,Cowboy Club House,"18.86203687,98.95703012",foursquare-logged-in
"December 16, 2018 at 05:51PM",,F•A•R•M Cowboy,"18.86027900,98.95623100",foursquare-logged-in
"December 17, 2018 at 08:32PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"December 19, 2018 at 12:59PM",,One Nimman (วันนิมมาน),"18.80011142,98.96782665",foursquare-logged-in
"December 21, 2018 at 04:53PM",,CentralPlaza Chiangmai Airport (เซ็นทรัลพลาซา เชียงใหม่ แอร์พอร์ต),"18.76915690,98.97502999",foursquare-logged-in
"December 21, 2018 at 09:39PM",,Ginger Farm Kitchen,"18.79998891,98.96758432",foursquare-logged-in
"December 24, 2018 at 04:17PM",,Hong beach (โฮ่งบีช),"18.91134561,98.90542207",foursquare-logged-in
"December 25, 2018 at 04:34PM",,Snowbuff Coffee (สโนว์บั๊ฟ คอฟฟี่),"18.92330856,98.93484857",foursquare-logged-in
"December 26, 2018 at 06:15PM",,Bombay Hut,"18.87577500,98.96258300",foursquare-logged-in
"December 27, 2018 at 09:22AM",,International Check In Counter,"18.76787210,98.96815214",foursquare-logged-in
"December 27, 2018 at 12:59PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"December 28, 2018 at 10:05AM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"December 28, 2018 at 11:37AM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"December 28, 2018 at 06:29PM",,Incheon International Airport (ICN) (인천국제공항),"37.45827402,126.44293249",foursquare-logged-in
"December 29, 2018 at 10:24AM",,Center Mark Hotel (센터마크호텔),"37.57233860,126.98432836",foursquare-logged-in
"December 29, 2018 at 11:06AM",,Jonggak Stn. (종각역),"37.57035050,126.98242508",foursquare-logged-in
"December 29, 2018 at 11:25AM",,Seoul Station - KTX/Korail (서울역 KTX/코레일),"37.55392573,126.97088971",foursquare-logged-in
"December 29, 2018 at 12:04PM",,Gwacheon National Science Museum (국립과천과학관),"37.43836587,127.00565485",foursquare-logged-in
"December 29, 2018 at 03:03PM",,Insectarium (국립과천과학관 곤충생태관),"37.43868500,127.00281600",foursquare-logged-in
"December 29, 2018 at 04:48PM",,고인돌,"37.56940718,126.98470020",foursquare-logged-in
"December 30, 2018 at 07:13AM",,Center Mark Hotel (센터마크호텔),"37.57233860,126.98432836",foursquare-logged-in
"December 30, 2018 at 08:56AM",,LOTTE Department Store (롯데백화점),"37.51275367,127.09983320",foursquare-logged-in
"December 30, 2018 at 09:17AM",,The Adventures of Sinbad (신밧드의 모험),"37.51108949,127.09805862",foursquare-logged-in
"December 30, 2018 at 03:25PM",,Lotte World Hot Air Balloon Ride (롯데월드 풍선비행),"37.51102446,127.09793356",foursquare-logged-in
"December 30, 2018 at 06:33PM",,화포식당,"37.56948000,126.98501600",foursquare-logged-in
"December 31, 2018 at 09:16AM",,Munmak Service Area - Gangneung-bound (문막휴게소 강릉방향),"37.33540500,127.85846100",foursquare-logged-in
"December 31, 2018 at 10:39AM",,White Cabin,"37.58776359,128.32159909",foursquare-logged-in
"December 31, 2018 at 11:47AM",,광명식당,"37.58705700,128.32238800",foursquare-logged-in
"December 31, 2018 at 01:52PM",,Phoenix Pyeongchang (휘닉스 평창),"37.58300000,128.32400000",foursquare-logged-in
"January 01, 2019 at 06:14AM",,bella pino,"37.58755974,128.32179738",foursquare-logged-in
"January 01, 2019 at 02:19PM",,Pheonix Park Ski Area,"37.58209962,128.32539002",foursquare-logged-in
"January 02, 2019 at 12:11PM",,휘닉스파크 곤돌라,"37.58012013,128.31968332",foursquare-logged-in
"January 02, 2019 at 01:12PM",,Phoenix Pyeongchang Snow Park (휘닉스 평창 스노우파크),"37.58301500,128.32587500",foursquare-logged-in
"January 02, 2019 at 04:29PM",,BBQ 치킨,"37.58807663,128.32124754",foursquare-logged-in
"January 04, 2019 at 06:35AM",,Phoenix Pyeongchang Snow Park (휘닉스 평창 스노우파크),"37.58301500,128.32587500",foursquare-logged-in
"January 04, 2019 at 02:10PM",,Pheonix Park Ski Area,"37.58209962,128.32539002",foursquare-logged-in
"January 04, 2019 at 03:57PM",,BBQ 치킨,"37.58807663,128.32124754",foursquare-logged-in
"January 05, 2019 at 12:52PM",,Pheonix Park Ski Area,"37.58209962,128.32539002",foursquare-logged-in
"January 05, 2019 at 12:57PM",,휘닉스파크 The Hotel,"37.58256079,128.32674071",foursquare-logged-in
"January 05, 2019 at 03:56PM",,덕평자연휴게소 푸드코트,"37.24163363,127.38971246",foursquare-logged-in
"January 05, 2019 at 05:37PM",,Aventree Hotel Jongno (호텔아벤트리종로),"37.57309730,126.98320229",foursquare-logged-in
"January 05, 2019 at 06:22PM",,Jongno-gu (종로구),"37.57457400,126.97815200",foursquare-logged-in
"January 06, 2019 at 03:30AM",,Aventree Hotel Jongno (호텔아벤트리종로),"37.57309730,126.98320229",foursquare-logged-in
"January 06, 2019 at 06:43AM",,Incheon International Airport (ICN) (인천국제공항),"37.45827402,126.44293249",foursquare-logged-in
"January 06, 2019 at 01:23PM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"January 06, 2019 at 06:47PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"January 09, 2019 at 01:48PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"January 09, 2019 at 07:09PM",,ร้านตุ้มตามสั่ง,"18.89658089,98.94846121",foursquare-logged-in
"January 12, 2019 at 11:06AM",,Royal Park Rajapruek (อุทยานหลวงราชพฤกษ์),"18.74665388,98.92497362",foursquare-logged-in
"January 14, 2019 at 01:39PM",,Wrap Master,"18.79823905,98.96780491",foursquare-logged-in
"January 18, 2019 at 01:09PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"January 30, 2019 at 06:34PM",,มายเวียดนาม (หนองคายแหนมเนือง) My Vietnamese,"18.80892440,98.95387865",foursquare-logged-in
"February 01, 2019 at 05:23PM",,One Nimman (วันนิมมาน),"18.80011142,98.96782665",foursquare-logged-in
"February 03, 2019 at 07:07PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"February 06, 2019 at 06:19PM",,Pizzeria Giotto,"18.82407370,99.01051199",foursquare-logged-in
"February 10, 2019 at 01:18PM",,Cut 'em all,"18.79908060,99.01722304",foursquare-logged-in
"February 10, 2019 at 05:13PM",,Makro (แม็คโคร),"18.78541355,99.02844478",foursquare-logged-in
"February 10, 2019 at 06:44PM",,Mamma Mia,"18.87087700,99.01532700",foursquare-logged-in
"February 13, 2019 at 12:05PM",,Wawee Coffee (กาแฟวาวี),"18.79787668,98.96470406",foursquare-logged-in
"February 13, 2019 at 07:07PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"February 16, 2019 at 09:51AM",,Punspace,"18.79344504,98.98682325",foursquare-logged-in
"February 16, 2019 at 05:06PM",,Three Little Pigs,"18.79568853,98.98471436",foursquare-logged-in
"February 18, 2019 at 12:38PM",,ก๋วยเตี๋ยวบ้านคุ้ม・ขนมจีน・ข้าวซอย,"18.78744468,98.96114916",foursquare-logged-in
"February 18, 2019 at 05:38PM",,Teak Table (ทีค เทเบิล),"18.82515729,98.95853926",foursquare-logged-in
"February 21, 2019 at 01:14PM",,KASIKORNBANK (ธนาคารกสิกรไทย),"18.80219205,98.96689893",foursquare-logged-in
"February 26, 2019 at 05:20PM",,Mamma Mia,"18.87087700,99.01532700",foursquare-logged-in
"February 27, 2019 at 06:43PM",,กาดหน้ามอ (Kad Na Mor) (กาดหน้ามอ),"18.80857542,98.95612301",foursquare-logged-in
"March 02, 2019 at 06:52PM",,Hanging Garden Cafe,"18.91094300,98.92159500",foursquare-logged-in
"March 03, 2019 at 10:04AM",,Payap Music Academy (สถาบันดนตรี วิทยาลัยดุริยศิลป์),"18.79890245,99.00914071",foursquare-logged-in
"March 03, 2019 at 12:43PM",,Bake & Bite (เบ๊คแอนด์ไบท์),"18.76132900,99.00484400",foursquare-logged-in
"March 05, 2019 at 05:26PM",,Pizza Mania,"18.82801624,99.01193624",foursquare-logged-in
"March 09, 2019 at 10:01AM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"March 09, 2019 at 12:09PM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"March 09, 2019 at 01:34PM",,Chatrium Hotel Riverside Bangkok,"13.71076496,100.51007509",foursquare-logged-in
"March 10, 2019 at 11:02AM",,ICON CINECONIC (ไอคอน ซีเนคอนิค),"13.72662832,100.51010380",foursquare-logged-in
"March 10, 2019 at 02:51PM",,Rama Gardens Hotel Bangkok (โรงแรมรามาการ์เด้นส์),"13.86025300,100.57104798",foursquare-logged-in
"March 10, 2019 at 07:18PM",,Supapong Condominium,"13.80610477,100.58147321",foursquare-logged-in
"March 11, 2019 at 06:19PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"March 20, 2019 at 12:16PM",,One Nimman (วันนิมมาน),"18.80011142,98.96782665",foursquare-logged-in
"April 03, 2019 at 06:55AM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"April 03, 2019 at 11:15AM",,Sky Lounge,"13.69270989,100.74577898",foursquare-logged-in
"April 03, 2019 at 11:15AM",,Suvarnabhumi Airport (BKK) (ท่าอากาศยานสุวรรณภูมิ),"13.69200261,100.75055122",foursquare-logged-in
"April 03, 2019 at 06:30PM",,Concourse A (인천국제공항 탑승동 A),"37.45602621,126.44501606",foursquare-logged-in
"April 03, 2019 at 07:19PM",,Incheon International Airport Transportation Center (인천국제공항 교통센터),"37.44752500,126.45237226",foursquare-logged-in
"April 03, 2019 at 09:19PM",,Jung-gu (중구),"37.56338764,126.97842846",foursquare-logged-in
"April 04, 2019 at 07:23AM",,Jangchung Gymnasium (장충체육관),"37.55826035,127.00669019",foursquare-logged-in
"April 04, 2019 at 09:43AM",,Starbucks (스타벅스),"37.55934302,127.00581783",foursquare-logged-in
"April 04, 2019 at 05:12PM",,Google Campus Seoul (구글캠퍼스 서울),"37.50607863,127.06385709",foursquare-logged-in
"April 04, 2019 at 07:07PM",,오토코,"37.50732578,127.06227788",foursquare-logged-in
"April 05, 2019 at 07:23AM",,Starbucks (스타벅스),"37.55934302,127.00581783",foursquare-logged-in
"April 05, 2019 at 05:41PM",,Nonce,"37.50378845,127.03109155",foursquare-logged-in
"April 05, 2019 at 08:15PM",,D Bridge,"37.52438961,127.04131775",foursquare-logged-in
"April 06, 2019 at 10:16AM",,MISS AMERICANO (Miss Americano 미쓰아메리카노),"37.56624452,126.99000144",foursquare-logged-in
"April 06, 2019 at 01:13PM",,Café De L'ambre (카페드람브르),"37.57017055,126.98622325",foursquare-logged-in
"April 07, 2019 at 08:31AM",,Gwangjang Market (광장시장),"37.57031407,127.00082660",foursquare-logged-in
"April 07, 2019 at 10:23AM",,N Seoul Tower (N서울타워),"37.55125426,126.98832566",foursquare-logged-in
"April 07, 2019 at 05:20PM",,Sky Hub Lounge East,"37.44983233,126.45310912",foursquare-logged-in
"April 08, 2019 at 06:43PM",,HomePro Plus (โฮมโปร พลัส),"13.76986911,100.57151527",foursquare-logged-in
"April 08, 2019 at 08:13PM",,Aun's Duck Boiled Rice (ข้าวต้มเป็ดอ้วน),"13.80246400,100.58038600",foursquare-logged-in
"April 09, 2019 at 05:56PM",,CentralFestival EastVille (เซ็นทรัลเฟสติวัล อีสต์วิลล์),"13.80332477,100.61453104",foursquare-logged-in
"April 10, 2019 at 06:33PM",,Banyan Tree,"13.72378338,100.53967973",foursquare-logged-in
"April 10, 2019 at 07:19PM",,Vertigo,"13.72350934,100.53991110",foursquare-logged-in
"April 11, 2019 at 06:11PM",,AIS Shop,"13.74394000,100.52966400",foursquare-logged-in
"April 11, 2019 at 08:06PM",,MBK Tower (อาคาร เอ็ม บี เค ทาวเวอร์),"13.74595825,100.53034696",foursquare-logged-in
"April 11, 2019 at 08:27PM",,Siam Paragon (สยามพารากอน),"13.74697923,100.53491235",foursquare-logged-in
"April 12, 2019 at 06:06PM",,The Fat Cow,"13.80793800,100.57056100",foursquare-logged-in
"April 13, 2019 at 11:42AM",,Centara Grand at Central Plaza Ladprao Bangkok,"13.81794216,100.56001246",foursquare-logged-in
"April 14, 2019 at 04:43PM",,Mohu Mohu Cafe,"13.80346317,100.57321623",foursquare-logged-in
"April 14, 2019 at 07:53PM",,Krua Pradiphat (ครัวประดิพัทธ์ 2),"13.79133000,100.54035437",foursquare-logged-in
"April 15, 2019 at 05:51PM",,No Name,"13.74480762,100.54093620",foursquare-logged-in
"April 17, 2019 at 05:13PM",,"Omise Co., Ltd.","13.80249320,100.61892986",foursquare-logged-in
"April 18, 2019 at 07:32PM",,BTS Phrom Phong (E5) (BTS พร้อมพงษ์),"13.73075552,100.56955252",foursquare-logged-in
"April 18, 2019 at 07:44PM",,Herrity's,"13.73200232,100.56825834",foursquare-logged-in
"April 19, 2019 at 07:40PM",,Aun's Duck Boiled Rice (ข้าวต้มเป็ดอ้วน),"13.80246400,100.58038600",foursquare-logged-in
"April 20, 2019 at 08:34AM",,สถานสงเคราะห์คนไร้ที่พึ่งหญิง,"14.01772976,100.72366017",foursquare-logged-in
"April 20, 2019 at 01:08PM",,Nittaya Kai Yang (นิตยาไก่ย่าง),"13.99340398,100.65406512",foursquare-logged-in
"April 20, 2019 at 04:00PM",,CentralPlaza WestGate (เซ็นทรัลพลาซา เวสต์เกต),"13.87728786,100.41154146",foursquare-logged-in
"April 20, 2019 at 05:56PM",,Jones Salad (โจนส์สลัด),"13.87784510,100.41015744",foursquare-logged-in
"April 20, 2019 at 07:29PM",,MRT Talad Bang Yai (PP02) (MRT ตลาดบางใหญ่),"13.88082755,100.40936865",foursquare-logged-in
"April 21, 2019 at 07:38AM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"April 25, 2019 at 05:50PM",,Hanging Garden Cafe,"18.91094300,98.92159500",foursquare-logged-in
"April 26, 2019 at 05:23PM",,CentralFestival Chiangmai (เซ็นทรัลเฟสติวัล เชียงใหม่),"18.80656297,99.01784901",foursquare-logged-in
"April 26, 2019 at 06:47PM",,Krungsri Bank,"18.80616923,99.01802169",foursquare-logged-in
"May 01, 2019 at 06:19PM",,Star Avenue Lifestyle Mall (สตาร์ เอวีนิว ไลฟ์สไตล์ มอลล์),"18.80007455,99.01869056",foursquare-logged-in
"May 04, 2019 at 10:14AM",,TOM N TOMS COFFEE,"18.80015809,99.01892381",foursquare-logged-in
"May 09, 2019 at 01:13PM",,Wrap Master,"18.79823905,98.96780491",foursquare-logged-in
"May 12, 2019 at 12:38PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"May 15, 2019 at 01:05PM",,Salad Terrace (สลัดเทอเรส),"18.78965510,98.97044179",foursquare-logged-in
"May 20, 2019 at 01:23PM",,Payap Music Academy (สถาบันดนตรี วิทยาลัยดุริยศิลป์),"18.79890245,99.00914071",foursquare-logged-in
"May 20, 2019 at 02:02PM",,Bake & Bite (เบ๊คแอนด์ไบท์),"18.76132900,99.00484400",foursquare-logged-in
"May 29, 2019 at 06:13PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"May 30, 2019 at 06:47PM",,Mama Mia,"18.86978613,99.01552323",foursquare-logged-in
"May 30, 2019 at 07:38PM",,PTT (ปตท.),"18.87528541,99.01514352",foursquare-logged-in
"May 31, 2019 at 07:23PM",,Grooveyard,"18.91204700,98.93226400",foursquare-logged-in
"June 01, 2019 at 04:07PM",,International Check In Counter,"18.76787210,98.96815214",foursquare-logged-in
"June 01, 2019 at 10:05PM",,Hong Kong International Airport (HKG) (香港國際機場),"22.31537000,113.93526900",foursquare-logged-in
"June 02, 2019 at 07:58PM",,Shari's Cafe and Pies,"47.74034000,-122.34500100",foursquare-logged-in
"June 02, 2019 at 08:59PM",,Safeway,"47.74097110,-122.34360260",foursquare-logged-in
"June 03, 2019 at 04:38AM",,Target,"47.75838912,-122.15427508",foursquare-logged-in
"June 03, 2019 at 08:25PM",,Shari's Cafe and Pies,"47.74034000,-122.34500100",foursquare-logged-in
"June 04, 2019 at 02:30AM",,Pho Big Bowl,"47.66883172,-122.38691274",foursquare-logged-in
"June 04, 2019 at 03:29AM",,Carl S. English Jr. Botanical Garden,"47.66656051,-122.39674601",foursquare-logged-in
"June 04, 2019 at 03:41AM",,Hiram M. Chittenden Locks,"47.66615216,-122.39695687",foursquare-logged-in
"June 04, 2019 at 08:31AM",,Pizzeria Pulcinella,"47.51128729,-122.24811199",foursquare-logged-in
"June 05, 2019 at 09:28AM",,Kubota Garden,"47.51276719,-122.26566166",foursquare-logged-in
"June 06, 2019 at 04:41AM",,Seward Park Playground,"47.54939497,-122.25632856",foursquare-logged-in
"June 07, 2019 at 03:46AM",,Phat Loi,"47.52201687,-122.26965056",foursquare-logged-in
"June 07, 2019 at 05:53AM",,The Museum of Flight,"47.51862790,-122.29653984",foursquare-logged-in
"June 07, 2019 at 10:47AM",,Randy's Restaurant,"47.51272659,-122.29365365",foursquare-logged-in
"June 08, 2019 at 05:38AM",,Kubota Garden,"47.51276719,-122.26566166",foursquare-logged-in
"June 09, 2019 at 05:11AM",,Flying Pie Pizzeria,"47.52983477,-122.03521078",foursquare-logged-in
"June 09, 2019 at 08:06AM",,Poo Poo Point,"47.49949846,-122.01066942",foursquare-logged-in
"June 09, 2019 at 10:19AM",,DICK'S Sporting Goods,"47.49621668,-122.20298051",foursquare-logged-in
"June 09, 2019 at 11:05AM",,Nibbana Thai Restaurant,"47.49827300,-122.20259600",foursquare-logged-in
"June 10, 2019 at 12:13AM",,AutoZone,"47.51959211,-122.26246198",foursquare-logged-in
"June 10, 2019 at 03:08AM",,76 Station,"47.13853387,-122.52553644",foursquare-logged-in
"June 10, 2019 at 04:38AM",,Mount St. Helens Visitor Center,"46.29469454,-122.82212478",foursquare-logged-in
"June 10, 2019 at 08:58AM",,Castle Lake Viewpoint,"46.29657320,-122.29935408",foursquare-logged-in
